City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,okhotsk,59.3833,143.3,9.51,52,4,3.48,RU,1696307486
64,invercargill,-46.4,168.35,16.12,54,12,1.34,NZ,1696307486
65,weno,7.4515,151.8468,31.97,79,100,2.06,FM,1696307487
66,siluko,6.5386,5.1609,23.37,99,100,1.05,NG,1696307487
67,happy valley-goose bay,53.3168,-60.3315,5.17,75,75,2.57,CA,1696307292
68,idri,27.5,13.2667,22.2,47,31,6.87,LY,1696307487
69,gujranwala,32.1617,74.1883,26.03,26,0,1.17,PK,1696307488
70,aykhal,66.0,111.5,-4.41,88,87,5.36,RU,1696307488
71,enewetak,11.3474,162.3373,28.65,77,100,4.46,MH,1696307488
72,roma,43.2128,-75.4557,16.6,96,0,0.0,US,1696307488
73,puerto ayora,-0.7393,-90.3518,23.08,98,89,3.27,EC,1696307488
74,strelka,58.0728,93.0344,7.82,80,99,4.42,RU,1696307489
75,stanley,54.868,-1.6985,9.01,92,20,4.12,GB,1696307489
76,altai,46.3722,96.2583,5.31,42,2,1.09,MN,1696307489
77,belawan,3.7755,98.6832,32.16,65,91,2.46,ID,1696307489
78,cill airne,52.05,-9.5167,9.49,95,70,2.97,IE,1696307490
79,ouallam,14.3188,2.0866,29.32,57,8,5.39,NE,1696307490
80,halifax,44.6453,-63.5724,14.0,90,16,0.51,CA,1696307439
81,tobol'sk,58.2,68.2667,12.56,67,99,4.92,RU,1696307490
82,san mariano,7.5,126.0,31.79,57,55,2.46,PH,1696307490
83,port elizabeth,-33.918,25.5701,12.16,94,0,1.54,ZA,1696307394
84,vorgashor,67.5833,63.95,1.98,77,48,7.81,RU,1696307491
85,eyl,7.9803,49.8164,28.13,68,33,5.8,SO,1696307491
86,hermanus,-34.4187,19.2345,14.61,90,14,2.04,ZA,1696307491
87,papatowai,-46.5619,169.4708,13.28,50,6,4.37,NZ,1696307492
88,malabar,-33.9667,151.25,37.09,11,0,9.77,AU,1696307492
89,atherton,53.5237,-2.4935,11.69,97,32,2.18,GB,1696307492
90,shakhun'ya,57.6758,46.6114,10.56,82,99,2.01,RU,1696307492
91,luderitz,-26.6481,15.1594,16.35,72,0,5.4,NA,1696307492
92,yicheng,31.3705,119.8703,20.1,86,100,2.96,CN,1696307493
93,ta`u,-14.2336,-169.5144,26.91,81,57,9.47,AS,1696307493
94,ribeira grande,38.5167,-28.7,17.1,81,11,4.92,PT,1696307493
95,nikolayevsk-on-amure,53.1406,140.73,8.33,92,100,2.58,RU,1696307493
96,wanning,18.8003,110.3967,30.45,72,40,4.26,CN,1696307493
97,punta arenas,-53.15,-70.9167,6.06,81,75,5.14,CL,1696307322
98,badger,64.8,-147.5333,1.93,70,40,4.12,US,1696307494
99,zhangjiakou,40.81,114.8794,21.38,37,5,3.02,CN,1696307494
100,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.0,GF,1696307494
101,polyarnyy,69.1989,33.4478,1.19,90,100,2.31,RU,1696307494
102,ilulissat,69.2167,-51.1,-2.99,36,0,9.26,GL,1696307495
103,dudinka,69.4058,86.1778,1.46,96,100,10.28,RU,1696307495
104,sao francisco do sul,-26.2433,-48.6381,15.57,82,99,1.16,BR,1696307495
105,aasiaat,68.7098,-52.8699,-9.68,78,24,3.81,GL,1696307495
106,tchollire,8.4022,14.1698,21.23,96,90,1.41,CM,1696307496
107,margaret river,-33.95,115.0667,14.74,63,90,4.09,AU,1696307496
108,anloga,5.7947,0.8973,26.03,85,41,5.06,GH,1696307496
109,tallahassee,30.4383,-84.2807,22.91,79,0,3.6,US,1696307324
110,udachny,66.4167,112.4,-3.64,73,41,5.4,RU,1696307497
111,jamestown,42.097,-79.2353,17.8,89,0,0.0,US,1696307322
112,vikulovo,56.8167,70.6107,13.31,55,100,6.33,RU,1696307497
113,cabedelo,-6.9811,-34.8339,23.37,74,13,4.59,BR,1696307497
114,chinde,26.8418,88.0763,23.06,75,31,3.11,NP,1696307497
115,qamdo,31.1667,97.2333,15.22,35,13,2.35,CN,1696307497
116,pangkalpinang,-2.1333,106.1333,32.01,52,100,5.26,ID,1696307498
117,kineshma,57.4391,42.1289,10.33,88,94,1.95,RU,1696307498
118,kelso,46.1468,-122.9084,14.26,95,100,5.14,US,1696307498
119,east london,-33.0153,27.9116,13.52,94,0,1.03,ZA,1696307498
120,codrington,-38.2667,141.9667,12.94,72,98,7.01,AU,1696307499
121,mweka,-4.85,21.5667,21.51,89,61,0.79,CD,1696307499
122,minas de marcona,-15.2119,-75.1103,12.85,88,71,6.2,PE,1696307499
123,kargasok,59.0556,80.8572,7.2,93,89,4.47,RU,1696307499
124,phongsali,21.6833,102.1058,26.44,56,79,0.75,LA,1696307499
125,dese,11.1333,39.6333,15.23,62,61,1.71,ET,1696307500
126,port mathurin,-19.6833,63.4167,23.67,79,20,6.37,MU,1696307500
127,primorsk,46.7348,36.3443,13.01,53,3,6.51,UA,1696307500
128,asmara,15.3333,38.9333,17.57,38,0,2.52,ER,1696307500
129,nova vicosa,-17.8919,-39.3719,24.13,92,98,4.77,BR,1696307500
130,suva,-18.1416,178.4415,24.71,61,75,5.14,FJ,1696307501
131,denison,33.7557,-96.5367,24.01,60,0,3.6,US,1696307501
132,guarapari,-20.6667,-40.4975,23.27,97,100,1.04,BR,1696307501
133,gushu,31.5598,118.4829,17.99,90,100,3.41,CN,1696307501
134,jiwani,25.05,61.7417,29.74,65,7,3.26,PK,1696307501
135,rovnoye,50.7765,46.0509,15.42,53,100,1.05,RU,1696307502
136,nabire,-3.3667,135.4833,29.54,67,91,2.23,ID,1696307502
137,college,64.8569,-147.8028,1.97,68,20,4.12,US,1696307502
138,abepura,-2.6333,140.5833,31.45,55,20,4.63,ID,1696307503
139,napier,-39.4833,176.9167,10.16,65,82,3.13,NZ,1696307503
140,bokoro,12.3807,17.0568,27.59,58,60,3.94,TD,1696307503
141,anadyr,64.75,177.4833,3.28,51,0,3.0,RU,1696307503
142,lihue,21.9789,-159.3672,26.58,79,75,3.6,US,1696307352
143,west island,-12.1568,96.8225,26.99,69,40,6.69,CC,1696307503
144,khovd,48.0056,91.6419,9.58,48,2,1.66,MN,1696307504
145,kone,-21.0595,164.8658,23.89,62,81,4.57,NC,1696307504
146,acarau,-2.8856,-40.12,25.68,85,20,5.76,BR,1696307504
147,san ignacio,17.1561,-89.0714,24.08,100,40,0.0,BZ,1696307505
148,thinadhoo,0.5333,72.9333,27.98,75,64,5.07,MV,1696307505
149,onega,63.9061,38.1404,6.18,84,100,5.44,RU,1696307505
150,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,85,75,6.71,RU,1696307505
151,nurota,40.5614,65.6886,21.67,18,1,1.48,UZ,1696307506
152,keflavik,64.0049,-22.5624,6.24,81,0,5.14,IS,1696307506
153,xining,36.6167,101.7667,11.82,81,100,0.91,CN,1696307506
154,omaruru,-21.4333,15.9333,22.1,23,55,2.45,NA,1696307506
155,gadzhiyevo,69.2551,33.3362,0.79,91,100,2.37,RU,1696307507
156,doctor alberto oviedo mota,32.2275,-115.1697,22.78,24,0,2.92,MX,1696307507
157,vila franca do campo,37.7167,-25.4333,20.23,99,20,5.11,PT,1696307507
158,barcelos,41.5388,-8.6151,19.36,93,93,1.7,PT,1696307507
159,kiama,-34.6833,150.8667,34.1,52,59,4.47,AU,1696307508
160,fale old settlement,-9.3852,-171.2468,28.51,76,81,7.04,TK,1696307508
161,atafu village,-8.5421,-172.5159,29.07,73,15,5.87,TK,1696307508
162,hamilton,39.1834,-84.5333,20.98,83,0,0.45,US,1696307229
163,luganville,-15.5333,167.1667,24.97,83,95,6.26,VU,1696307508
164,naze,28.3667,129.4833,25.51,87,100,4.13,JP,1696307509
165,mizdah,31.4451,12.9801,16.61,89,0,2.81,LY,1696307509
166,yuzhno-kurilsk,44.0306,145.8556,14.65,74,44,10.72,RU,1696307509
167,lebu,-37.6167,-73.65,9.24,82,90,4.64,CL,1696307510
168,afaahiti,-17.75,-149.2833,24.93,86,65,5.8,PF,1696307510
169,utrik,11.2278,169.8474,28.93,78,45,6.87,MH,1696307510
170,portland,45.5234,-122.6762,15.16,93,100,4.47,US,1696307405
171,ketchikan,55.3422,-131.6461,11.26,100,100,4.63,US,1696307313
172,port hedland,-20.3167,118.5667,37.03,12,46,4.63,AU,1696307511
173,pariaman,-0.619,100.12,27.03,66,60,3.52,ID,1696307511
174,kayangel,8.0823,134.7173,28.9,71,41,3.0,PW,1696307511
175,camiri,-20.05,-63.5167,21.68,73,2,0.97,BO,1696307511
176,copiapo,-27.3667,-70.3333,11.83,87,15,1.82,CL,1696307511
177,gambiran satu,-8.3939,114.1464,30.48,54,79,3.8,ID,1696307512
178,sake,-1.5736,29.045,19.48,80,50,1.41,CD,1696307512
179,san patricio,28.017,-97.5169,28.92,84,4,4.48,US,1696307512
180,cabo san lucas,22.8909,-109.9124,29.78,74,12,0.45,MX,1696307512
181,mahina,-17.5065,-149.489,25.87,83,75,2.57,PF,1696307513
182,st. john's,47.5649,-52.7093,9.38,99,0,2.57,CA,1696307380
183,edd,13.9297,41.6925,33.3,45,0,3.56,ER,1696307513
184,galliano,29.4422,-90.2992,26.0,78,0,3.09,US,1696307514
185,juneau,58.3019,-134.4197,10.68,95,100,4.63,US,1696307284
186,kaspiyskiy,45.3929,47.3707,21.1,58,100,5.73,RU,1696307514
187,camocim,-2.9022,-40.8411,24.79,88,24,5.13,BR,1696307514
188,janakpur,26.7183,85.9065,29.64,76,97,5.33,NP,1696307514
189,kargil,34.5667,76.1,8.63,34,0,0.3,IN,1696307515
190,nadi,-17.8,177.4167,26.0,65,75,1.03,FJ,1696307515
191,gotse delchev,41.5667,23.7333,11.31,77,9,1.43,BG,1696307515
192,kiunga,-6.1219,141.2906,27.7,90,74,0.81,PG,1696307515
193,bamboo flat,11.7,92.7167,26.05,89,100,4.63,IN,1696307516
194,labuan bajo,-8.4964,119.8877,27.69,73,6,3.13,ID,1696307516
195,qaqortoq,60.7167,-46.0333,2.94,90,100,1.56,GL,1696307357
196,kapa'a,22.0752,-159.319,26.99,83,75,3.6,US,1696307516
197,rongelap,11.1635,166.8941,29.19,78,53,6.75,MH,1696307517
198,fort bragg,35.139,-79.006,19.72,88,0,0.45,US,1696307517
199,gorzow wielkopolski,52.7368,15.2288,15.44,69,30,3.15,PL,1696307517
200,yichun,47.7,128.9,15.65,41,89,3.05,CN,1696307518
201,balkashino,52.5167,68.7667,10.82,49,9,0.76,KZ,1696307518
202,tarawa,1.419,172.984,31.05,74,40,3.09,KI,1696307518
203,bel ombre,-4.6167,55.4167,27.91,69,20,6.69,SC,1696307518
204,richmond,37.5538,-77.4603,18.14,94,0,0.0,US,1696307319
205,buka,40.8108,69.1986,22.68,21,0,0.48,UZ,1696307519
206,hawaiian paradise park,19.5933,-154.9731,23.35,95,100,3.09,US,1696307519
207,zhanibek,49.4167,46.85,18.19,42,95,0.66,KZ,1696307519
208,mount pearl,47.5166,-52.7813,8.92,99,0,2.57,CA,1696307519
209,twon-brass,4.3151,6.2418,26.77,81,89,4.68,NG,1696307520
210,alofi,-19.0595,-169.9187,22.94,78,97,9.26,NU,1696307520
211,orcopampa,-15.2661,-72.3417,8.87,58,66,0.52,PE,1696307520
212,bubaque,11.2833,-15.8333,28.15,78,94,3.76,GW,1696307520
213,kamina,-8.7386,24.9906,21.77,38,96,1.78,CD,1696307521
214,bonthe,7.5264,-12.505,25.1,88,95,1.75,SL,1696307521
215,miracema do tocantins,-9.5618,-48.3967,27.9,36,29,1.23,BR,1696307521
216,tete,-16.1564,33.5867,23.05,64,75,3.09,MZ,1696307521
217,zhytkavichy,52.2168,27.8561,11.14,75,79,2.69,BY,1696307522
218,novyy urgal,51.0736,132.5642,8.88,57,85,0.94,RU,1696307522
219,rajgarh,28.6333,75.3833,32.6,16,0,2.25,IN,1696307522
220,tubarjal,30.4999,38.216,23.13,52,96,5.78,SA,1696307522
221,hasaki,35.7333,140.8333,25.22,52,76,5.42,JP,1696307522
222,sibolga,1.7427,98.7792,28.3,69,97,2.61,ID,1696307523
223,manta,-0.95,-80.7333,23.88,78,75,4.12,EC,1696307523
224,arauca,7.0847,-70.7591,24.15,92,82,1.06,CO,1696307523
225,babra,21.85,71.3,30.05,39,9,2.2,IN,1696307524
226,gaigeturi,33.4644,126.3183,23.03,78,100,6.17,KR,1696307524
227,jidong,45.2167,131.0833,19.42,40,48,1.28,CN,1696307524
228,ixtapa,20.7,-105.2,28.46,89,100,1.03,MX,1696307524
229,novodvinsk,64.4165,40.8122,3.21,84,100,3.86,RU,1696307524
230,youssoufia,32.2463,-8.5294,21.02,43,83,1.79,MA,1696307525
231,novo oriente,-5.5344,-40.7742,23.74,52,14,1.42,BR,1696307525
232,ancud,-41.8697,-73.8203,5.51,79,60,0.62,CL,1696307525
233,tangalle,6.024,80.7911,28.09,73,96,4.09,LK,1696307525
234,maneromango,-7.1988,38.7848,22.54,77,88,1.79,TZ,1696307525
235,port alfred,-33.5906,26.891,21.36,48,0,4.05,ZA,1696307526
236,alvorada,-12.48,-49.1247,28.48,28,37,1.25,BR,1696307526
237,akkol',48.7833,53.2,18.1,49,100,8.54,KZ,1696307526
238,urangan,-25.3,152.9,23.04,63,37,5.09,AU,1696307526
239,phnom penh,11.5625,104.916,28.95,84,75,2.06,KH,1696307358
240,usogorsk,63.4106,48.6872,3.7,90,100,1.53,RU,1696307527
241,oncativo,-31.9135,-63.682,17.04,47,1,1.68,AR,1696307527
242,mejit,10.2753,170.8646,28.78,77,40,6.2,MH,1696307527
243,la baule-escoublac,47.2922,-2.364,17.81,92,75,5.14,FR,1696307528
244,tazacorte,28.629,-17.9293,22.54,83,0,4.12,ES,1696307528
245,kingston,17.997,-76.7936,27.53,90,20,1.54,JM,1696307528
246,wynyard,-41.0,145.7167,15.63,49,98,5.23,AU,1696307528
247,saint-pierre,-21.3393,55.4781,25.87,65,0,2.57,RE,1696307528
248,mponela,-13.5319,33.7401,18.05,75,47,5.53,MW,1696307529
249,rothenburg,51.3333,14.9667,18.46,79,17,5.5,DE,1696307529
250,kiruna,67.8557,20.2251,-1.49,100,100,1.03,SE,1696307529
251,puerto baquerizo moreno,-0.9,-89.6,22.63,91,80,4.8,EC,1696307529
252,hanceville,34.0607,-86.7675,20.3,64,0,1.37,US,1696307530
253,kapit,2.0167,112.9333,35.7,44,90,0.59,MY,1696307530
254,san martin,-33.081,-68.4681,17.3,34,94,7.46,AR,1696307530
255,naja' hammadi,26.0495,32.2414,25.35,41,96,4.61,EG,1696307531
256,porto novo,6.4965,2.6036,25.9,93,69,2.3,BJ,1696307531
257,jijiga,9.35,42.8,19.14,66,74,1.96,ET,1696307531
258,gradacac,44.8808,18.4269,12.55,76,15,2.1,BA,1696307531
259,illizi,26.4833,8.4667,23.89,40,0,6.0,DZ,1696307531
260,rio grande,-32.035,-52.0986,11.08,87,15,3.89,BR,1696307532
261,lompoc,34.6391,-120.4579,16.62,86,0,6.26,US,1696307532
262,korla,41.7597,86.1469,22.35,22,95,2.77,CN,1696307532
263,el calafate,-50.3408,-72.2768,4.6,77,17,3.06,AR,1696307532
264,fiambala,-27.6871,-67.6149,18.7,17,1,1.78,AR,1696307532
265,tobelo,1.7284,128.0095,29.4,70,88,3.85,ID,1696307533
266,avarua,-21.2078,-159.775,22.03,64,75,7.72,CK,1696307533
267,port blair,11.6667,92.75,26.02,89,100,4.63,IN,1696307533
268,nadbai,27.2333,77.2,32.18,19,2,2.61,IN,1696307533
269,tralee,52.2704,-9.7026,11.38,90,48,5.85,IE,1696307534
270,nantucket,41.2835,-70.0995,14.03,96,0,1.54,US,1696307373
271,warrnambool,-38.3833,142.4833,12.92,75,100,7.8,AU,1696307534
272,dongola,19.1667,30.4833,29.63,25,2,7.01,SD,1696307534
273,kaeng khoi,14.5862,100.9976,31.89,75,99,2.6,TH,1696307534
274,san pedro pochutla,15.7333,-96.4667,24.33,90,95,1.86,MX,1696307535
275,celanova,42.153,-7.9551,14.89,98,96,0.84,ES,1696307399
276,labrador city,52.9463,-66.9114,4.95,93,100,2.06,CA,1696307412
277,mili,6.0815,171.735,29.29,72,36,3.34,MH,1696307535
278,vorkuta,67.5,64.0,2.15,77,47,7.7,RU,1696307535
279,siwa oasis,29.2041,25.5195,22.46,55,99,2.29,EG,1696307536
280,klyuchi,52.2667,79.1667,11.0,35,16,4.7,RU,1696307536
281,holualoa,19.6228,-155.9522,24.91,77,40,3.6,US,1696307536
282,namibe,-15.1961,12.1522,18.38,92,47,3.04,AO,1696307536
283,abra pampa,-22.7205,-65.697,9.53,21,85,3.01,AR,1696307537
284,margate,51.3813,1.3862,15.17,87,100,2.24,GB,1696307537
285,new norfolk,-42.7826,147.0587,19.72,48,75,4.57,AU,1696307537
286,songjianghe,42.1859,127.479,18.39,39,100,4.4,CN,1696307537
287,poyarkovo,49.6,128.6833,15.82,48,100,1.94,RU,1696307538
288,palikir - national government center,6.9248,158.1611,30.47,79,75,2.57,FM,1696307538
289,yarmouth,41.7057,-70.2286,14.19,90,0,2.57,US,1696307538
290,lafollette,36.3829,-84.1199,19.67,100,0,0.0,US,1696307538
291,yigo village,13.5361,144.8886,30.62,76,75,6.69,GU,1696307538
292,bardai,11.65,7.2333,20.87,86,100,2.39,NG,1696307539
293,balrampur,27.4333,82.1833,27.05,78,96,5.87,IN,1696307419
294,orleans,30.0335,-89.9501,26.99,74,0,4.63,US,1696307539
295,pengcheng,36.4311,114.17,24.97,38,0,1.76,CN,1696307539
296,mirabad,30.4362,61.8383,30.29,10,0,1.56,AF,1696307539
297,freetown,8.484,-13.2299,24.84,100,75,2.06,SL,1696307540
298,la ronge,55.1001,-105.2842,7.14,87,100,2.06,CA,1696307540
299,saldanha,-33.0117,17.9442,13.03,89,10,5.88,ZA,1696307540
300,marquette,46.5333,-87.6335,21.49,65,47,4.16,US,1696307540
301,ubari,26.5921,12.7805,21.9,40,0,4.62,LY,1696307541
302,barah,13.7,30.3667,28.58,57,47,5.4,SD,1696307541
303,riviera beach,26.7753,-80.0581,28.02,76,75,5.66,US,1696307541
304,vylkove,45.4021,29.586,13.31,58,5,3.45,UA,1696307541
305,mount isa,-20.7333,139.5,34.87,15,1,5.14,AU,1696307432
306,kerema,-7.9631,145.7785,26.83,85,87,3.77,PG,1696307542
307,hadibu,12.65,54.0333,27.99,74,14,1.47,YE,1696307542
308,paghman,34.5875,68.9533,16.53,21,1,1.52,AF,1696307542
309,salalah,17.0151,54.0924,27.05,74,75,1.54,OM,1696307543
310,galveston,29.3669,-94.9669,28.33,79,0,5.66,US,1696307543
311,smithers,54.7804,-127.1743,5.18,93,0,1.03,CA,1696307543
312,queenstown,-31.8976,26.8753,19.28,40,0,2.47,ZA,1696307543
313,gamba,-2.65,10.0,24.33,88,91,1.95,GA,1696307544
314,kerikeri,-35.2268,173.9474,17.17,64,0,1.79,NZ,1696307544
315,le vauclin,14.5452,-60.8388,26.03,89,99,1.03,MQ,1696307544
316,basoko,1.2391,23.616,22.67,97,100,1.65,CD,1696307544
317,tual,-5.6667,132.75,26.49,84,24,4.77,ID,1696307544
318,olonkinbyen,70.9221,-8.7187,2.75,92,80,6.17,SJ,1696307545
319,aitape,-3.1374,142.3475,26.22,85,100,2.34,PG,1696307545
320,nanning,22.8167,108.3167,32.25,59,25,2.71,CN,1696307545
321,biankouma,7.7391,-7.6138,21.03,99,71,0.72,CI,1696307545
322,zaozersk,69.4005,32.4476,0.86,85,100,2.04,RU,1696307546
323,puerto armuelles,8.2833,-82.8667,25.05,96,100,1.34,PA,1696307535
324,fortuna,40.5982,-124.1573,13.53,91,100,0.0,US,1696307546
325,santona,43.4439,-3.4576,20.12,86,53,3.46,ES,1696307546
326,marsh harbour,26.5412,-77.0636,26.91,71,15,7.76,BS,1696307546
327,jiexiu,37.0244,111.9125,22.31,38,13,1.13,CN,1696307547
328,chonchi,-42.6128,-73.8092,4.56,97,49,0.59,CL,1696307439
329,trenggalek,-8.05,111.7167,31.48,48,82,4.53,ID,1696307358
330,kavaratti,10.5669,72.642,27.77,74,99,3.43,IN,1696307547
331,beloyarskiy,63.7119,66.6722,6.11,79,100,2.68,RU,1696307548
332,antsiranana,-12.2787,49.2917,25.42,78,40,3.09,MG,1696307548
333,roja,57.5,22.8167,14.38,95,100,4.06,LV,1696307548
334,al bardiyah,31.7561,25.0865,23.19,62,2,5.47,LY,1696307548
335,andergrove,-21.0833,149.1833,27.03,73,7,5.25,AU,1696307548
336,kindu,-2.95,25.95,21.57,92,46,1.15,CD,1696307549
337,taksimo,56.3444,114.8794,3.17,49,91,1.34,RU,1696307549
338,kagizman,40.1567,43.1342,12.15,70,88,1.64,TR,1696307549
339,sitka,57.0531,-135.33,11.94,82,100,4.12,US,1696307549
340,isangel,-19.55,169.2667,26.06,65,75,3.09,VU,1696307550
341,praia,14.9215,-23.5087,25.3,83,0,2.57,CV,1696307550
342,beau vallon,-20.4189,57.6953,24.13,83,20,1.54,MU,1696307550
343,turar ryskulov,42.5333,70.3333,18.44,29,0,1.65,KZ,1696307550
344,vilyuysk,63.7553,121.6247,2.78,51,54,2.68,RU,1696307550
345,springbok,-29.6643,17.8865,16.68,38,0,1.49,ZA,1696307551
346,pudozh,61.8099,36.5345,6.08,82,100,1.34,RU,1696307551
347,ola,59.5833,151.2833,10.23,53,86,2.49,RU,1696307551
348,praia da vitoria,38.7333,-27.0667,18.75,94,20,5.48,PT,1696307551
349,nar'yan-mar,67.6713,53.087,3.95,78,65,9.39,RU,1696307551
350,kurumkan,54.3,110.3,5.63,48,86,1.79,RU,1696307552
351,sinop,41.7711,34.8709,12.79,86,51,2.29,TR,1696307552
352,kingscliff,-28.2667,153.5667,25.96,57,0,7.72,AU,1696307552
353,kez,57.8979,53.7152,10.15,89,100,2.2,RU,1696307552
354,nouadhibou,20.931,-17.0347,25.27,51,55,5.39,MR,1696307553
355,garden city,42.3256,-83.331,18.97,89,0,0.0,US,1696307471
356,morehead city,34.7229,-76.726,21.1,91,75,4.12,US,1696307553
357,bairnsdale,-37.8333,147.6167,25.07,42,100,5.45,AU,1696307309
358,cody,44.5263,-109.0565,11.12,87,75,2.57,US,1696307553
359,pisco,-13.7,-76.2167,18.34,88,0,6.17,PE,1696307553
360,moapa valley,36.5805,-114.4703,21.25,31,4,1.1,US,1696307554
361,san juan de miraflores,-12.1629,-76.9635,18.29,91,98,4.28,PE,1696307554
362,sittwe,20.15,92.9,25.47,91,100,4.6,MM,1696307554
363,noumea,-22.2763,166.4572,25.0,99,92,7.81,NC,1696307286
364,amahai,-3.3333,128.9167,26.69,83,97,1.7,ID,1696307554
365,carnot,4.9409,15.8665,21.59,97,100,0.63,CF,1696307555
366,narasapur,16.45,81.6667,31.92,65,84,3.37,IN,1696307555
367,nova sintra,14.8667,-24.7167,23.21,80,16,3.67,CV,1696307555
368,keminmaa,65.8596,24.8228,6.87,100,75,3.09,FI,1696307555
